uid,sec_uid,unique_id,nickname,bio,avatar,verified,region,language,secret,video_count,total_favorited,favoriting_count,follower_count,following_count,create_time,unique_id_modify_time
222838918348439552,MS4wLjABAAAAZUDexX-Wq7YFVG8V5DCx40AnohGQorRgMT_4xd3fvfFjJjc3TNZUjCTq-izbWsH5,christianzammataro,Zamma,"Videomaker
ZammaVerse
Vision•Sketch•Backstage•Nature•Prod•Card",https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/acdcc4d8e8390e04aa827d01f0ec161f~tplv-tiktokx-cropcenter:1080:1080.webp?dr=14635&refresh_token=d171e131&x-expires=1774490400&x-signature=%2Bnyjz8FqZ9btHO055jsYVMsdkqs%3D&t=4d5b0474&ps=82dc5187&shp=30310797&shcp=65db1d19&idc=my2,False,IT,en,0,28,207652,2149,3557,203,1493471653,1774404184
7081369942658729002,MS4wLjABAAAAXX_PQE7IuzMkE-bx4onzVvR-MiCkyjPX7V6TTfS0jTF66Y6_drVnuiuqZjsO327J,neverbrokeagain,NeverBrokeAgain,Slime Cry Out Now!,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/a554025e6b293165e01c600398f1d30e~tplv-tiktokx-cropcenter:1080:1080.webp?dr=14635&refresh_token=76b9de07&x-expires=1774490400&x-signature=GC1ZUGtpuCKfT3Tjj5kUbchVeIU%3D&t=4d5b0474&ps=82dc5187&shp=30310797&shcp=65db1d19&idc=my2,True,US,en,0,25,742387,5195,268132,3,1648760054,1774404184
7136282086625117190,MS4wLjABAAAAOxGQ-KTYr2jnwUcZFdxSWDgaue4batLT1piAMbu_PAsjkzo9Buxw5wiVloPtEwBw,mouhamed.mamba,mouhamed niang,"🐍Mamba
🥊k1 pro fighter
🕋Fede, disciplina e sacrificio.",https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/903c7a755dcce10c7ca8486bfda5cf3b~tplv-tiktokx-cropcenter:1080:1080.webp?dr=14635&refresh_token=d24a4d12&x-expires=1774490400&x-signature=5Lvu%2By8oeq95f23WTTDIaa5A2xU%3D&t=4d5b0474&ps=82dc5187&shp=30310797&shcp=65db1d19&idc=my2,False,IT,it,0,69,13598,1625,6864,110,1661588126,1774404184
6785570607193359365,MS4wLjABAAAAH0EBt4LAJUBtdMHuf5gM0kQ8QgAh-wM4_V5wL4EwduHoE5llHF2LNTf29cYA1ZIY,emerson.royal22,Emerson Junior,,https://p19-common-sign-useastred.tiktokcdn-eu.com/tos-useast2a-avt-0068-euttp/ee4b9f33ad020e7d485fe6144c964323~tplv-tiktokx-cropcenter:1080:1080.webp?dr=14635&refresh_token=b07ab4c4&x-expires=1774490400&x-signature=9%2BfcelEmdXyECZXII2lHIweaW6I%3D&t=4d5b0474&ps=82dc5187&shp=30310797&shcp=65db1d19&idc=my2,True,BR,pt,0,29,1431303,80,394681,83,1581412758,1774404184
6727327145951183878,MS4wLjABAAAA8ezUaW4ecJX222ObGXxt07F9BIh4QH3-g1P1DHyChT2LLi2cn-vAE2R53-H672ZO,willsmith,Will Smith,Same kid from West Philly. “Pretty Girls”out now!👇🏾,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/6b73291201289543d115071ba64de75a~tplv-tiktokx-cropcenter:1080:1080.webp?dr=14635&refresh_token=044c389d&x-expires=1774490400&x-signature=x9jplSVocYjw3ImTzhDxvIxWumc%3D&t=4d5b0474&ps=82dc5187&shp=30310797&shcp=65db1d19&idc=my2,True,US,en,0,439,668220998,311,78881423,51,1567819878,1774404184
6746264168812659717,MS4wLjABAAAAeorUnEgxFuiNspeal1-82s8pfmSKCojvGFhL3fDrspFgBDzg084_uu4KrGLwKVZD,terrycrews,Terry Crews,"Husband, Father, Actor, Author, Artist, Philanthropist, Athlete",https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/51b739700d98376b9b26dcf5fc6b6b08~tplv-tiktokx-cropcenter:1080:1080.webp?dr=14635&refresh_token=82b31db7&x-expires=1774490400&x-signature=Jl8o7fFH67bU7h%2BEjmYgmUe2Osc%3D&t=4d5b0474&ps=82dc5187&shp=30310797&shcp=65db1d19&idc=my2,True,US,en,0,326,148164759,810,24633865,152,1570737884,1774404184
7209374969515181061,MS4wLjABAAAAFH-5aS36rPmyvoBjB5HF3bCI1dd-_ElABoVyNfeOw0yxsDcNYe-_ODQdmnxxokjL,billyy__g,Billy!,"I don't have any content yet 🥳
G💗",https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/f832148c541f81825dc6812e20cfcea7~tplv-tiktokx-cropcenter:1080:1080.webp?dr=14635&refresh_token=8ed5e12e&x-expires=1774490400&x-signature=f%2BOImjalBlhKa0JSUuEH9bE1sEE%3D&t=4d5b0474&ps=82dc5187&shp=30310797&shcp=65db1d19&idc=my2,False,LY,ar,0,2,836874,172054,56436,11,1679721821,1774404184
6789054862825260038,MS4wLjABAAAArXS4ZcTg-WVFhSH4FzCxoQvWWhjG-UxxIeziT-QPgw4dpQL5K-F__VGWX_jUqgQq,giannis_an34,Giannis Antetokounmpo,I’m ME and I’m okay with ME 😎,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/aeb728655c8054caf4e8f6d26ea10d37~tplv-tiktokx-cropcenter:1080:1080.webp?dr=14635&refresh_token=fe8386f3&x-expires=1774490400&x-signature=qOhqqQru6nfvHFnAo41Zh76UhnU%3D&t=4d5b0474&ps=82dc5187&shp=30310797&shcp=65db1d19&idc=my2,True,US,en,0,17,67556721,630,6265800,16,1580700512,1774404184
6879140164560602114,MS4wLjABAAAApLb3RUlmWdu8KUVSXNK9DG6Mu9B0IBq5aEdCtumcTcy6mihjAhJpNtYGauSczOhA,mfcbqtr_,Mabkhout Al-Marri,اغطي اهم احداث كرة القدم العالمية وسفير الدوري الاسباني 🇪🇸,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/6ee9869cba56429a53cb075f65151d5c~tplv-tiktokx-cropcenter:1080:1080.webp?dr=14635&refresh_token=a7e5d90f&x-expires=1774490400&x-signature=Kvg85W%2FuokaA6PdS9oA6igoqH%2Bc%3D&t=4d5b0474&ps=82dc5187&shp=30310797&shcp=65db1d19&idc=my2,True,QA,ar,0,395,7563848,2129,1119842,39,1601675413,1774404184
6805979175184286725,MS4wLjABAAAAVA-yyBrKD5jHmvt1X4n-o5hIGw0qpOseYAIbIVVBH1cPpuUsZTHJd8GkUg3N-Z7Y,naomi,Naomi Campbell,Mother |  Model | Actress | Cultural Innovator | Activist |,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/7320378889853730821~tplv-tiktokx-cropcenter:1080:1080.webp?dr=14635&refresh_token=8f208262&x-expires=1774490400&x-signature=tVeQ9Snb4Na6Qlz1aK419ZYb%2BeA%3D&t=4d5b0474&ps=82dc5187&shp=30310797&shcp=65db1d19&idc=my2,True,GB,en,0,12,779440,55,368445,31,1584641037,1774404184
